OpeningDate,Title,Studio,OpeningGross,OpeningTheaters,TotalGross,TotalTheaters,GrossRatio,Stamina
2018-10-10,The Happy Prince,Other,38886,8,466440,277,11.995062490356426,Stronger
2018-10-06,MET Opera: Aida,Other,1187275,699,1595902,699,1.3441721589353772,Weaker
2018-10-05,A Star is Born (2018),Warner Brothers,42908051,3686,215288866,3904,5.017446865624356,Strong
2018-10-05,Shine (2018),Other,205842,609,333388,609,1.6196305904528716,Weaker
2018-10-05,The Hate U Give,Fox,512035,36,29719483,2375,58.041897526536275,Stronger
2018-10-05,Venom (2018),Sony,80255756,4250,213515506,4250,2.6604385360222635,Weak
2018-09-30,My Neighbor Totoro - Studio Ghibli Fest 2018,Other,539245,718,1144649,718,2.1226882029504215,Weaker
2018-09-29,Above and Beyond: NASA's Journey to Tomorrow,Other,35490,350,74711,404,2.105128205128205,Weaker
2018-09-28,Bad Reputation,Other,130675,196,148568,196,1.136927491869141,Weaker
2018-09-28,Black '47,Other,8600,1,57520,100,6.688372093023256,Stronger
2018-09-28,Free Solo,Other,294288,4,17541090,483,59.60518267819279,Stronger
2018-09-28,Hell Fest,Other,5130963,2297,11107431,2297,2.164784856176121,Weaker
2018-09-28,Little Women (2018),Other,705063,643,1379497,643,1.9565584919361816,Weaker
2018-09-28,Monsters and Men,Other,118697,18,500101,153,4.213257285356833,Strong
2018-09-28,Night School (2018),Universal,27257615,3010,77339130,3019,2.8373403175589647,Weak
2018-09-28,Smallfoot,Warner Brothers,23045635,4131,83240103,4131,3.611968296816295,Strong
2018-09-28,Sui Dhaaga - Made in India,Other,581950,193,790628,193,1.3585840707964603,Weaker
2018-09-28,The Old Man & the Gun,Other,142131,5,11277120,1042,79.34314118665175,Stronger
2018-09-25,My Hero Academia: Two Heroes,Other,1388499,508,5754556,535,4.144443748249008,Strong
2018-09-23,TCM: Rebel Without a Cause,Other,116668,658,199963,660,1.7139489834401893,Weaker
2018-09-21,Assassination Nation,Other,1050021,1403,2005142,1403,1.9096208552019436,Weaker
2018-09-21,Colette,Other,161179,4,5137622,593,31.875256702175843,Stronger
2018-09-21,Fahrenheit 11/9,Other,3008563,1719,6352306,1719,2.1114086691885796,Weaker
2018-09-21,Life Itself (2018),Other,2123463,2609,4102648,2609,1.9320553266056437,Weaker
2018-09-21,"Love, Gilda",Other,189639,82,626318,112,3.3026856290109103,Weak
2018-09-21,The House With A Clock In Its Walls,Universal,26608020,3592,68549695,3592,2.576279445069569,Weak
2018-09-21,The Sisters Brothers,Other,115575,4,3143056,1141,27.194947004109885,Stronger
2018-09-16,Jurassic Park (25th Anniversary),Other,213743,532,374238,532,1.7508783913391315,Weaker
2018-09-15,Canelo vs. GGG 2,Other,707875,533,707875,533,1,Weaker
2018-09-15,Dragon Ball Z: Broly - The Legendary Super Saiyan (2018 re-release),Other,357322,681,658982,681,1.8442245369722547,Weaker
2018-09-14,A Simple Favor,Other,16011689,3102,53548586,3102,3.344343373144457,Strong
2018-09-14,Lizzie,Other,47580,4,642157,240,13.496364018495166,Stronger
2018-09-14,The Predator (2018),Fox,24632284,4037,51024708,4070,2.0714566298439885,Weaker
2018-09-14,Unbroken: Path to Redemption,Other,2238723,1620,6216897,1620,2.77698357501129,Weak
2018-09-14,Where Hands Touch,Other,67743,103,67743,103,1,Weaker
2018-09-14,White Boy Rick,Other,8860431,2504,24011188,2504,2.709934539301756,Weak
2018-09-13,Mandy,Other,225723,75,1214525,250,5.380599230029727,Strong
2018-09-13,Moses,Other,416047,673,1807117,697,4.343540513451606,Strong
2018-09-09,The Sound of Music (2018 re-release),Other,413497,640,616171,640,1.4901462404805839,Weaker
2018-09-07,God Bless the Broken Road,Other,1386254,1272,2846257,1272,2.05320020717704,Weaker
2018-09-07,Peppermint,Other,13423255,2980,35418723,2980,2.6386091153002753,Weak
2018-09-07,Perfect Blue (2018 re-release),Other,19020,491,446062,491,23.452260778128284,Stronger
2018-09-07,The Nun,Other,53807379,3876,117450119,3876,2.1827883309462073,Weaker
2018-08-31,Kin,Other,3035618,2141,5718096,2141,1.8836678396293605,Weaker
2018-08-31,The Little Stranger,Other,401563,474,713143,477,1.7759181000241555,Weaker
2018-08-31,Ya Veremos,Other,1803848,369,4165949,369,2.309478958315778,Weaker
2018-08-29,Operation Finale,MGM,6022758,1818,17612099,1818,2.924258122275542,Weak
2018-08-28,Rudy (25th Anniversary),Other,85349,656,131200,656,1.5372177764238597,Weaker
2018-08-26,South Pacific (60th Anniversary),Other,258350,683,458000,718,1.7727888523321076,Weaker
2018-08-24,A.X.L.,Other,2798229,1710,6501381,1710,2.3233913307309733,Weaker
2018-08-24,Beautifully Broken,Other,589155,651,1209645,651,2.0531863431524813,Weaker
2018-08-24,Little Italy,Other,283399,133,990230,133,3.49411959816372,Strong
2018-08-24,Papillon (2018),Other,1090073,544,2335896,544,2.1428803392066404,Weaker
2018-08-24,Searching,Other,388769,9,26020957,2009,66.93166636228712,Stronger
2018-08-24,The Bookshop,Other,75736,4,1588150,136,20.969552128446182,Stronger
2018-08-24,The Happytime Murders,Other,9532425,3256,20706452,3256,2.172212422337443,Weaker
2018-08-23,RiffTrax Live: Krull,Other,95010,507,397157,638,4.180159983159667,Strong
2018-08-21,"Night Is Short, Walk On Girl",Other,18302,10,406490,415,22.210140968200196,Stronger
2018-08-17,Alpha,Other,10352512,2719,35857181,2881,3.463621293073604,Strong
2018-08-17,"Juliet, Naked",Other,60886,4,3444895,467,56.57942712610453,Stronger
2018-08-17,Mile 22,Other,13710825,3520,36108758,3520,2.6335948420317523,Weak
2018-08-17,The Wife,Other,108284,4,9601092,541,88.66584167559381,Stronger
2018-08-15,Crazy Rich Asians,Warner Brothers,26510140,3384,174532921,3865,6.583628792605396,Stronger
2018-08-12,Grave of the Fireflies - Studio Ghibli Fest 2018,Other,158101,715,516962,746,3.269821190251801,Weak
2018-08-10,BlacKkKlansman,Other,10845330,1512,49275340,1914,4.543461563640756,Strong
2018-08-10,Slender Man,Other,11371866,2358,30569484,2358,2.6881677993743507,Weak
2018-08-10,The Meg,Warner Brothers,45402195,4118,145443742,4118,3.203451771439685,Weak
2018-08-08,Dog Days (2018),Other,2554766,2442,6809080,2442,2.6652460538460274,Weak
2018-08-05,The Big Lebowski (20th Anniversary),Other,330067,624,582585,658,1.7650507321240838,Weaker
2018-08-04,Sailor Moon SuperS - The Movie,Other,109707,520,231434,580,2.1095645674387233,Weaker
2018-08-03,Death of a Nation,Other,2356522,1005,5885881,1005,2.497698302837826,Weak
2018-08-03,Disney's Christopher Robin,Buena Vista,24585139,3602,99215042,3602,4.035569699239854,Strong
2018-08-03,The Darkest Minds,Fox,5842609,3127,12695691,3127,2.1729489342860355,Weaker
2018-08-03,The Spy Who Dumped Me,Other,12103043,3111,33562069,3111,2.7730273287469935,Weak
2018-07-29,Across the Universe (2018 re-release),Other,118217,439,258618,439,2.187654905808809,Weaker
2018-07-28,Sailor Moon R & S - The Movies,Other,173199,526,335697,621,1.9382155786118858,Weaker
2018-07-27,Mission: Impossible - Fallout,Paramount,61236534,4386,220159104,4395,3.5952247721923647,Strong
2018-07-27,Puzzle,Other,61214,5,2032018,265,33.1953147972686,Stronger
2018-07-27,Teen Titans Go! To The Movies,Warner Brothers,10411189,3188,29790236,3188,2.8613673231750956,Weak
2018-07-26,Newsies: The Broadway Musical (2018 re-release),Other,122524,647,282429,647,2.305091247429075,Weaker
2018-07-22,Princess Mononoke - Studio Ghibli (2018),Other,476728,731,1423877,754,2.9867702337601316,Weak
2018-07-22,The Sandlot (25th Anniversary),Other,263582,410,516130,438,1.9581382643731362,Weaker
2018-07-20,Blindspotting,Other,338999,14,4333394,523,12.782910864043847,Stronger
2018-07-20,Mamma Mia! Here We Go Again,Universal,34952180,3317,120634935,3514,3.451428065431112,Strong
2018-07-20,Maquia: When the Promised Flower Blooms (Subtitled),Other,71472,157,185699,221,2.5982062905753303,Weak
2018-07-20,The Equalizer 2,Sony,36011640,3388,102084362,3388,2.8347601497737953,Weak
2018-07-20,Unfriended: Dark Web,Other,3653035,1546,8866745,1547,2.4272269496459793,Weaker
2018-07-15,Big 30th Anniversary,Other,141578,689,258507,722,1.825898091511393,Weaker
2018-07-13,Don't Worry He Won't Get Far on Foot,Other,83339,4,1441705,266,17.29928364871189,Stronger
2018-07-13,Eighth Grade,Other,263797,4,13539709,1084,51.3262432855567,Stronger
2018-07-13,Hotel Transylvania 3: Summer Vacation,Sony,44076225,4267,167510016,4267,3.8004619497245966,Strong
2018-07-13,Shock & Awe,Other,45856,100,77980,100,1.7005408234473134,Weaker
2018-07-13,Skyscraper,Universal,24905015,3782,68420120,3822,2.7472426738148923,Weak
2018-07-08,Yellow Submarine (2018 re-release),Other,107105,73,992305,188,9.264786891368283,Stronger
2018-07-06,Ant-Man and the Wasp,Buena Vista,75812205,4206,216648740,4206,2.857702661464602,Weak
2018-07-06,Sorry to Bother You,Other,727266,16,17493096,1050,24.053229492372804,Stronger
2018-07-06,Whitney,Other,1265572,451,3026351,451,2.391291052583338,Weaker
2018-07-04,The First Purge,Universal,17374280,3031,69488745,3038,3.999517965636562,Strong
2018-07-03,Fireworks (2018),Other,138014,10,525280,510,3.8059906965959973,Strong
2018-06-29,Leave No Trace,Other,219140,9,6046104,361,27.590143287396184,Stronger
2018-06-29,Sanju,Other,2723349,356,7909317,359,2.9042612606757343,Weak
2018-06-29,Sicario: Day of the Soldado,Sony,19007566,3055,50072235,3055,2.6343317708327305,Weak
2018-06-29,Three Identical Strangers,Other,171503,5,12320845,433,71.84040512410861,Stronger
2018-06-29,Uncle Drew,Other,15242781,2742,42469946,2742,2.786233430763061,Weak
2018-06-24,TCM: West Side Story,Other,207145,616,398670,616,1.92459388351155,Weaker
2018-06-22,Boundaries,Other,29552,5,703438,224,23.80339740119112,Stronger
2018-06-22,Jurassic World: Fallen Kingdom,Universal,148024610,4475,417719760,4485,2.8219615643641958,Weak
