OpeningDate,Title,Studio,OpeningGross,OpeningTheaters,TotalGross,TotalTheaters,GrossRatio,Stamina
2017-11-12,TCM Presents Casablanca 75th Anniversary,Other,596068,725,1024560,725,1.7188642906514022,Weaker
2017-11-10,Daddy's Home 2,Paramount,29651193,3575,104029443,3575,3.5084403855183837,Strong
2017-11-10,Murder on the Orient Express (2017),Fox,28681472,3341,102826543,3354,3.5851208403808563,Strong
2017-11-10,"Three Billboards Outside Ebbing, Missouri",Other,322168,4,54513740,1726,169.20904621191428,Stronger
2017-11-03,Lady Bird,Other,364437,4,48958273,1557,134.33946882451562,Stronger
2017-11-03,Last Flag Flying,Other,40558,4,965481,110,23.8049460032546,Stronger
2017-11-03,LBJ,Other,1110565,659,2470979,659,2.2249746750527883,Weaker
2017-11-03,My Friend Dahmer,Other,35545,4,1361611,110,38.30668167112111,Stronger
2017-11-03,Thor: Ragnarok,Buena Vista,122744989,4080,315058289,4080,2.566771088308949,Weak
2017-11-01,A Bad Moms Christmas,Other,16759161,3615,72110659,3615,4.302760681158204,Strong
2017-10-27,All I See is You,Other,144076,283,217644,283,1.5106193953191371,Weaker
2017-10-27,Jigsaw,Other,16640452,2941,38052832,2941,2.286766729653738,Weaker
2017-10-27,Let there be Light,Other,1729535,373,7233471,774,4.182321259760571,Strong
2017-10-27,Little Shop of Horrors: The Director's Cut,Other,156288,511,233865,511,1.4963720823095823,Weaker
2017-10-27,Novitiate,Other,22724,3,580346,163,25.538901601830663,Stronger
2017-10-27,Spirited Away (Fathom Event),Other,903896,632,1196791,632,1.3240361723030083,Weaker
2017-10-27,Suburbicon,Paramount,2840246,2046,5775178,2046,2.0333372531815908,Weaker
2017-10-27,Thank You for Your Service (2017),Universal,3817700,2054,9536300,2083,2.497917594363098,Weak
2017-10-20,A Silent Voice,Other,121732,41,310407,148,2.549921138238097,Weak
2017-10-20,Geostorm,Warner Brothers,13707376,3246,33700160,3246,2.458542028758823,Weaker
2017-10-20,Golmaal Again,Other,1013893,265,1013893,265,1,Weaker
2017-10-20,Only The Brave,Sony,6002665,2577,18343983,2577,3.055973138597606,Weak
2017-10-20,Same Kind of Different as Me,Other,2591985,1362,6423605,1362,2.4782570115181994,Weak
2017-10-20,The Killing of a Sacred Deer,Other,115120,4,2291901,238,19.908799513551077,Stronger
2017-10-20,The Snowman,Universal,3372565,1812,6700035,1815,1.9866288714969171,Weaker
2017-10-20,Tyler Perry's Boo 2! A Madea Halloween,Other,21226953,2388,47319572,2388,2.229221122786676,Weaker
2017-10-20,Wonderstruck,Other,65882,4,1060377,261,16.095094259433534,Stronger
2017-10-13,Breathe (2017),Other,22285,4,490131,315,21.993762620596815,Stronger
2017-10-13,Goodbye Christopher Robin,Other,57917,9,1735251,262,29.96099590793722,Stronger
2017-10-13,Happy Death Day,Universal,26039025,3149,55683845,3535,2.1384765750637746,Weaker
2017-10-13,Marshall,Other,3000805,821,10051659,821,3.3496541761294054,Strong
2017-10-13,Professor Marston & the Wonder Women,Other,736883,1229,1584759,1229,2.1506249974554983,Weaker
2017-10-13,The Foreigner,Other,13113024,2515,34393507,2515,2.6228509152427386,Weak
2017-10-06,Blade Runner 2049,Warner Brothers,32753122,4058,92054159,4058,2.810546090842882,Weak
2017-10-06,My Little Pony: The Movie,Other,8885899,2528,21885107,2528,2.4629029656987997,Weaker
2017-10-06,The Florida Project,Other,157553,4,5904366,229,37.47542731652206,Stronger
2017-10-06,The Mountain Between Us,Fox,10551336,3088,30348555,3259,2.876276046938511,Weak
2017-10-06,The Stray,Other,596547,640,1579440,640,2.647637151808659,Weak
2017-09-29,A Question Of Faith,Other,1025489,661,2587072,661,2.5227691374553993,Weak
2017-09-29,American Made,Universal,16776390,3024,51342000,3098,3.0603723447058635,Weak
2017-09-29,Flatliners (2017),Sony,6574326,2552,16883115,2552,2.5680373927304485,Weak
2017-09-29,Judwaa 2,Other,638045,192,1431255,192,2.2431881763825436,Weaker
2017-09-29,Lucky (2017),Other,43293,5,955925,111,22.080359411452196,Stronger
2017-09-29,Mark Felt: The Man Who Brought Down the White House,Other,34217,5,768946,332,22.47263056375486,Stronger
2017-09-29,Pearl Jam - Let's Play Two,Other,53177,5,348833,201,6.559847302405175,Stronger
2017-09-29,Til Death Do Us Part,Other,1527289,562,3455267,562,2.2623530975473534,Weaker
2017-09-26,Jeepers Creepers 3,Other,19151,10,2335162,669,121.93420709101352,Stronger
2017-09-22,Battle of the Sexes,Other,518332,21,12638526,1822,24.383071081854872,Stronger
2017-09-22,Friend Request,Other,2002863,2573,3759078,2573,1.8768522859526588,Weaker
2017-09-22,Kingsman: The Golden Circle,Fox,39023010,4003,100234838,4038,2.5686085722244387,Weak
2017-09-22,Loving Vincent,Other,23180,1,6735118,218,290.55729076790334,Stronger
2017-09-22,Stronger,Other,1611040,573,4211129,645,2.613919579898699,Weak
2017-09-22,The LEGO Ninjago Movie,Warner Brothers,20433071,4047,59281555,4047,2.901255273864609,Weak
2017-09-22,Victoria and Abdul,Other,158845,4,22245070,1060,140.04262016431113,Stronger
2017-09-16,Canelo Vs. GGG: Supremacy,Other,703396,465,703396,465,1,Weaker
2017-09-15,American Assassin,Other,14846778,3154,36249674,3154,2.4415852382247514,Weaker
2017-09-15,Brad's Status,Other,89921,4,2133158,453,23.722578707977004,Stronger
2017-09-15,mother!,Paramount,7534673,2368,17800004,2368,2.36241227721495,Weaker
2017-09-12,May It Last: A Portrait Of The Avett Brothers,Other,9616,8,725286,326,75.42491680532446,Stronger
2017-09-08,9/11,Other,170000,425,170000,425,1,Weaker
2017-09-08,Home Again,Other,8567881,2940,27020284,3036,3.153671718829895,Weak
2017-09-08,It,Other,123403419,4103,327481748,4148,2.6537493908495353,Weak
2017-09-08,True to the Game,Other,472436,461,1231040,461,2.6057286066260827,Weak
2017-09-01,Close Encounters of the Third Kind (40th Anniversary),Sony,1767758,901,3100479,901,1.7539046634211244,Weaker
2017-09-01,Hazlo Como Hombre (Do It Like An Hombre),Other,1174484,382,2534252,382,2.157757789803863,Weaker
2017-09-01,I Do... Until I Don't,Other,170775,165,280668,165,1.643495827843654,Weaker
2017-09-01,Inhumans,Other,1135440,393,1521787,393,1.3402619248925527,Weaker
2017-09-01,Tulip Fever,Other,1158017,765,2455635,772,2.120551770828926,Weaker
2017-09-01,Valley of Bones,Other,107393,300,168738,300,1.5712197256804448,Weaker
2017-09-01,Viceroy's House,Other,48134,4,1105717,116,22.97164166701292,Stronger
2017-08-26,Mayweather vs. McGregor,Other,2620183,532,2620183,532,1,Weaker
2017-08-25,A Gentleman,Other,191530,135,410055,135,2.140943977444787,Weaker
2017-08-25,All Saints,Other,1514278,846,5802208,846,3.8316663122623456,Strong
2017-08-25,Birth of the Dragon,Other,2702430,1618,6901965,1633,2.5539847470609787,Weak
2017-08-25,Leap!,Other,4730038,2575,21858070,2705,4.621119322931444,Strong
2017-08-25,Terminator 2: Judgment Day 3D,Other,552773,371,1037809,371,1.8774596443748157,Weaker
2017-08-18,Logan Lucky,Other,7600036,3031,27780977,3031,3.655374395594968,Strong
2017-08-18,Patti Cake$,Other,67599,14,800148,303,11.83668397461501,Stronger
2017-08-18,The Hitman's Bodyguard,Other,21384504,3377,75468583,3377,3.529124781196702,Strong
2017-08-14,Fairy Tail: Dragon Cry,Other,169203,292,519461,304,3.070046039372824,Weak
2017-08-11,Annabelle: Creation,Other,35006404,3502,102092201,3565,2.916386413183142,Weak
2017-08-11,Good Time,Other,125101,4,2026499,721,16.198903286144795,Stronger
2017-08-11,Ingrid Goes West,Other,135301,3,3024308,647,22.352443810467033,Stronger
2017-08-11,The Glass Castle,Other,4678548,1461,17273059,1461,3.69197003001786,Strong
2017-08-11,The Nut Job 2: Nutty by Nature,Other,8342311,4003,28370522,4003,3.4007988913383835,Strong
2017-08-11,The Only Living Boy in New York,Other,54458,15,624332,289,11.464468030408755,Stronger
2017-08-11,The Trip to Spain,Other,40875,3,1157604,140,28.320587155963302,Stronger
2017-08-11,Toilet: Ek Prem Katha,Other,678436,178,1830715,178,2.698434340158836,Weak
2017-08-04,Jab Harry Met Sejal,Other,1284740,280,1664648,280,1.2957080810125006,Weaker
2017-08-04,Kidnap (2017),Other,10016323,2378,30971040,2418,3.0920568356272056,Weak
2017-08-04,Step (2017),Other,146488,29,1146292,306,7.825159740046966,Stronger
2017-08-04,The Dark Tower,Sony,19153698,3451,50701325,3451,2.6470776034998567,Weak
2017-08-04,Wind River,Other,161558,4,33800859,2890,209.21810742891097,Stronger
2017-07-28,An Inconvenient Sequel: Truth to Power,Paramount,124823,4,3496795,556,28.01402786345465,Stronger
2017-07-28,Atomic Blonde,Other,18286420,3304,51687870,3326,2.8265713026387886,Weak
2017-07-28,Brigsby Bear,Other,39652,3,532669,408,13.43359729647937,Stronger
2017-07-28,Detroit,Other,350190,20,16790139,3007,47.94579799537394,Stronger
2017-07-28,Menashe,Other,62078,3,1703036,126,27.433809078900737,Stronger
2017-07-28,Mubarakan,Sony,310170,128,758868,128,2.446619595705581,Weaker
2017-07-28,The Emoji Movie,Sony,24531923,4075,86089513,4075,3.5092851465415085,Strong
2017-07-21,Dunkirk,Warner Brothers,50513488,3720,188045546,4014,3.722679890962984,Strong
2017-07-21,Girls Trip,Universal,31201920,2591,115171585,2648,3.6911698062170535,Strong
2017-07-21,Landline,Other,52555,4,940854,144,17.90227380839121,Stronger
2017-07-21,Valerian and the City of a Thousand Planets,Other,17007624,3553,41189488,3553,2.421824941567382,Weaker
2017-07-14,Jagga Jasoos,Other,490232,210,861740,210,1.7578207868927365,Weaker
2017-07-14,Lady Macbeth,Other,64537,5,1129408,131,17.5001626973674,Stronger
2017-07-14,War for the Planet of the Apes,Fox,56262929,4022,146880162,4100,2.6106028358388524,Weak
2017-07-14,Wish Upon,Other,5467084,2250,14301505,2250,2.615929259546771,Weak
2017-07-07,A Ghost Story,Other,104030,4,1596371,329,15.345294626550034,Stronger
2017-07-07,Spider-Man: Homecoming,Sony,117027503,4348,334201140,4348,2.855748703789741,Weak
2017-06-30,Despicable Me 3,Universal,72434025,4529,264624300,4535,3.653314861351416,Strong
2017-06-30,The House,Other,8724795,3134,25584504,3134,2.932390273926207,Weak
2017-06-30,The Little Hours,Other,56676,2,1647175,114,29.063007269390923,Stronger
2017-06-28,Baby Driver,Other,20553320,3226,107825862,3226,5.246153030264697,Strong
2017-06-23,The Beguiled (2017),Other,229292,4,10709995,941,46.70897807162919,Stronger
2017-06-23,The Big Sick,Other,421577,5,42873127,2597,101.69702569162929,Stronger
2017-06-23,Tubelight,Other,930058,338,930058,338,1,Weaker
2017-06-21,Transformers: The Last Knight,Paramount,44680073,4069,130168683,4132,2.9133498282332706,Weak
2017-06-16,47 Meters Down,Other,11205561,2270,44307191,2471,3.9540359469731143,Strong
2017-06-16,All Eyez on Me,Other,26435354,2471,44922302,2471,1.699326666856816,Weaker
2017-06-16,Cars 3,Buena Vista,53688680,4256,152901115,4256,2.8479209211327228,Weak
2017-06-16,Rough Night,Sony,8004283,3162,22105643,3162,2.7617268155061483,Weak
2017-06-16,The Book of Henry,Other,1424540,579,4504974,650,3.1624061100425402,Weak
2017-06-09,Beatriz At Dinner,Other,141959,5,7115854,683,50.12612092223811,Stronger
2017-06-09,It Comes At Night,Other,5988370,2533,13985117,2533,2.3353795774142214,Weaker
2017-06-09,Megan Leavey,Other,3810867,1956,13406883,1956,3.5180663612768432,Strong
2017-06-09,My Cousin Rachel,Other,969941,523,2716368,531,2.8005497241584796,Weak
2017-06-09,The Hero,Other,45317,4,4077333,447,89.97358607145222,Stronger
2017-06-09,The Mummy (2017),Universal,31688375,4035,80227895,4035,2.5317768740113684,Weak
2017-06-08,Chris Brown: Welcome To My Life,Other,98088,293,693984,413,7.075116222167849,Stronger
2017-06-02,3 Idiotas,Other,609249,349,1249233,349,2.050447354037512,Weaker
2017-06-02,Captain Underpants: The First Epic Movie,Fox,23851539,3434,73921000,3529,3.099213010950782,Weak
2017-06-02,Churchill,Other,408891,215,1281258,215,3.1334952346713427,Weak
2017-06-02,Wonder Woman,Warner Brothers,103251471,4165,412563408,4165,3.995714579214082,Strong
2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,Buena Vista,62983253,4276,172558876,4276,2.739758075055285,Weak
2017-05-25,Baywatch,Paramount,18503871,3647,58060186,3647,3.1377318832367562,Weak
2017-05-19,Alien: Covenant,Fox,36160621,3761,74262031,3772,2.0536713404341147,Weaker
2017-05-19,Diary of a Wimpy Kid: The Long Haul,Fox,7126084,3157,20738724,3174,2.9102553379948932,Weak
2017-05-19,"Everything, Everything",Warner Brothers,11727390,2801,34121140,2801,2.909525478388627,Weak
2017-05-12,King Arthur: Legend of the Sword,Warner Brothers,15371270,3702,39175066,3702,2.5485900644514086,Weak
2017-05-12,Lowriders,Other,2403885,295,6303560,365,2.6222385846244727,Weak
2017-05-12,Paris Can Wait,Other,98850,4,5617731,447,56.83086494688923,Stronger
2017-05-12,Sarkar 3,Other,164364,107,249588,107,1.5185077024165876,Weaker
2017-05-12,Snatched,Fox,19542248,3501,45852178,3511,2.3463103118945168,Weaker
2017-05-12,The Wall,Other,897955,540,1803064,540,2.007966991664393,Weaker
2017-05-12,The Wedding Plan,Other,31658,8,1412404,123,44.614441847242404,Stronger
2017-05-06,Canelo vs. Chavez Jr.,Other,343387,273,343387,273,1,Weaker
2017-05-05,Chuck,Other,34565,4,320725,120,9.278894835816578,Stronger
2017-05-05,Guardians of the Galaxy Vol. 2,Buena Vista,146510104,4347,389813101,4347,2.6606567762725772,Weak
2017-05-05,The Dinner,Other,653944,505,1323312,505,2.0235861174657157,Weaker
2017-05-05,The Lovers,Other,66286,4,2194521,443,33.10685514286576,Stronger
2017-04-28,Baahubali 2: The Conclusion,Other,10430497,425,20186659,425,1.9353496770096381,Weaker
2017-04-28,How to be a Latin Lover,Other,12252439,1118,32149404,1203,2.6239187152859933,Weak
2017-04-28,Sleight,Other,1701785,565,3986245,591,2.3423904899855152,Weaker
2017-04-28,The Circle (2017),Other,9034148,3163,20497844,3163,2.2689293998725724,Weaker
2017-04-21,Born in China,Buena Vista,4790367,1508,13873211,1508,2.8960643307704816,Weak
2017-04-21,Free Fire,Other,994431,1070,1799312,1070,1.8093884844700134,Weaker
2017-04-21,Phoenix Forgotten,Other,1816499,1626,3600146,1626,1.9819146611145946,Weaker
2017-04-21,The Promise (2017),Other,4095718,2251,8224288,2251,2.0080210600436845,Weaker
2017-04-21,Unforgettable (2017),Warner Brothers,4785431,2417,11368012,2417,2.3755461106847013,Weaker
2017-04-14,A Quiet Passion,Other,45825,6,1865396,135,40.70695035460993,Stronger
2017-04-14,Maudie,Other,45920,4,6170998,233,134.3858449477352,Stronger
2017-04-14,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Other,99211,5,3814868,373,38.45206680710808,Stronger
2017-04-14,Spark: A Space Tail,Other,116873,365,196458,365,1.680952829139322,Weaker
2017-04-14,The Fate of the Furious,Universal,98786705,4310,226008385,4329,2.287842124099594,Weaker
2017-04-14,The Lost City of Z,Other,110175,4,8580410,866,77.87982754708419,Stronger
2017-04-14,Tommy's Honour,Other,209190,167,569306,167,2.7214780821262967,Weak
2017-04-09,Bolshoi Ballet: Hero of our Time,Other,104837,401,104837,401,1,Weaker
2017-04-07,Colossal,Other,120226,4,3029287,327,25.196604727762715,Stronger
2017-04-07,Gifted,Other,446380,56,24801212,2215,55.5607598906761,Stronger
2017-04-07,Going in Style (2017),Other,11932330,3061,45018541,3076,3.772820647769547,Strong
2017-04-07,Smurfs: The Lost Village,Sony,13210449,3610,45020282,3610,3.4079297380429687,Strong
2017-04-07,The Case for Christ,Other,3967885,1174,14682684,1386,3.700380429372323,Strong
2017-04-07,Their Finest,Other,76197,4,3603484,330,47.2916781500584,Stronger
2017-04-07,Your Name.,Other,1813781,311,5017246,311,2.76618070208035,Weak
2017-03-31,Ghost in the Shell (2017),Paramount,18676033,3440,40563557,3440,2.171957877778434,Weaker
2017-03-31,The Boss Baby,Fox,50198902,3773,175003033,3829,3.4861924469981433,Strong
2017-03-31,The Zookeeper's Wife,Other,3288835,541,17571660,1057,5.342822002319971,Strong
2017-03-24,CHiPs,Warner Brothers,7722802,2464,18600152,2464,2.4084719509835937,Weaker
2017-03-24,Life (2017),Sony,12501936,3146,30234022,3146,2.418347206384675,Weaker
2017-03-24,Power Rangers (2017),Other,40300288,3693,85364450,3693,2.1182094281807613,Weaker
2017-03-24,Slamma Jamma,Other,1687000,502,1687000,502,1,Weaker
2017-03-24,Wilson,Other,336227,310,653951,311,1.9449687264853803,Weaker
2017-03-17,Beauty and the Beast (2017),Buena Vista,174750616,4210,504014165,4210,2.8841910634523886,Weak
2017-03-17,T2: Trainspotting,Other,170575,5,2402004,331,14.081805657335483,Stronger
2017-03-17,The Belko Experiment,Other,4137230,1341,10166820,1341,2.457397824148041,Weaker
2017-03-15,Frantz,Other,18745,2,880883,106,46.99295812216591,Stronger
2017-03-10,Badrinath Ki Dulhania,Other,862008,152,1993259,156,2.3123439689654854,Weaker
2017-03-10,Kong: Skull Island,Warner Brothers,61025472,3846,168052812,3846,2.7538142105644017,Weak
2017-03-10,Personal Shopper,Other,79175,4,1305195,153,16.484938427533944,Stronger
2017-03-10,The Ottoman Lieutenant,Other,149830,216,240978,216,1.608342788493626,Weaker
2017-03-10,The Sense of an Ending,Other,39692,4,1274420,282,32.10772951728308,Stronger
2017-03-09,Sword Art Online: The Movie - Ordinal Scale,Other,196454,578,1522976,621,7.752328789436713,Stronger
2017-03-03,Before I Fall,Other,4690214,2346,12241122,2346,2.60992824634441,Weak
2017-03-03,Logan (2017),Fox,88411916,4071,226277068,4071,2.5593503482041946,Weak
2017-03-03,Table 19,Other,1597928,868,3614896,868,2.2622396002823657,Weaker
2017-03-03,The Last Word,Other,31630,4,1783421,380,56.383844451470125,Stronger
2017-03-03,The Shack,Other,16172119,2888,57386418,2888,3.548478588365569,Strong
2017-02-24,Ballerina (2017) [Canada Only],Other,181091,77,2844490,237,15.707517215101799,Stronger
2017-02-24,Bitter Harvest,Other,219357,127,557241,127,2.540338352548585,Weak
2017-02-24,Collide,Other,1512824,2045,2280004,2045,1.50711781410131,Weaker
2017-02-24,Get Out,Universal,33377060,2781,176040665,3143,5.274301121788438,Strong
2017-02-24,Rock Dog,Other,3704749,2077,9420546,2077,2.5428297571576373,Weak
2017-02-19,George Takei's Allegiance,Other,784850,476,784850,476,1,Weaker
2017-02-18,Newsies: The Broadway Musical,Other,1333538,780,2545060,780,1.9085020449361023,Weaker
2017-02-17,A Cure for Wellness,Fox,4356941,2704,8106986,2704,1.8607059402456907,Weaker
2017-02-17,Everybody Loves Somebody,Other,924201,333,1915789,333,2.0729137925624403,Weaker
2017-02-17,Fist Fight,Other,12201873,3185,32187017,3185,2.6378751032730796,Weak
2017-02-17,The Great Wall,Universal,18469620,3326,45540830,3328,2.465715591333227,Weaker
2017-02-10,A United Kingdom,Other,66510,4,3902185,317,58.670651029920315,Stronger
2017-02-10,Fifty Shades Darker,Universal,46607250,3710,114581250,3714,2.4584426242698294,Weaker
2017-02-10,John Wick: Chapter Two,Other,30436123,3113,92029184,3113,3.023682878400774,Weak
2017-02-10,Jolly Llb 2,Other,774355,173,1654254,173,2.1362992425954506,Weaker
2017-02-10,Kedi,Other,40103,1,2835047,130,70.69413759569109,Stronger
2017-02-10,The LEGO Batman Movie,Warner Brothers,53003468,4088,175750384,4088,3.3158280133669744,Weak
2017-02-10,The Oscar Nominated Short Films 2017,Other,692399,206,2835355,272,4.094972696378822,Strong
2017-02-03,I am Not Your Negro,Other,686378,43,7123919,320,10.37900253213244,Stronger
2017-02-03,Rings,Paramount,13002632,2931,27793018,2931,2.1374917016800907,Weaker
2017-02-03,The Space Between Us,Other,3775596,2812,7885294,2812,2.088489870208571,Weaker
2017-01-27,A Dog's Purpose,Universal,18222810,3059,64508620,3178,3.5399930087620954,Strong
2017-01-27,Gold,Other,3471316,2166,7227038,2166,2.081930311155769,Weaker
2017-01-27,Resident Evil: The Final Chapter,Other,13601682,3104,26830068,3104,1.9725551589869548,Weaker
2017-01-27,The Salesman,Other,71078,3,2402067,115,33.79480289259686,Stronger
2017-01-27,Un Padre No Tan Padre,Other,978894,312,2156047,312,2.2025336757606033,Weaker
2017-01-27,Yu-Gi-Oh! The Dark Side of Dimensions,Other,656756,381,1015339,552,1.545991205257356,Weaker
2017-01-25,Raees,Other,1798379,265,3262954,265,1.8143861777745403,Weaker
2017-01-20,Split,Universal,40010975,3038,138291365,3373,3.4563357928668323,Strong
2017-01-20,The Red Turtle,Other,21010,3,921974,127,43.88262732032366,Stronger
2017-01-20,The Resurrection of Gavin Stone,Other,1206771,890,2303792,890,1.9090548248176331,Weaker
2017-01-20,xXx: The Return of Xander Cage,Paramount,20130142,3651,44898413,3651,2.2304071675202293,Weaker
2017-01-19,Sailor Moon R: The Movie,Other,253490,145,452053,151,1.7833168961300248,Weaker
2017-01-19,The Founder,Other,3404102,1115,12786053,1115,3.756072232853187,Strong
2017-01-13,Monster Trucks,Paramount,10950705,3119,33370166,3119,3.047307547778887,Weak
2017-01-13,Ok Jaanu,Other,225968,121,355922,121,1.5750991290802236,Weaker
2017-01-13,Sleepless,Other,8344128,1803,20783704,1803,2.4908179740291616,Weak
2017-01-13,The Bye Bye Man,Other,13501349,2220,22395806,2220,1.658782837181677,Weaker
2017-01-10,One Piece Film: Gold,Other,50241,13,423593,372,8.431221512310662,Stronger
2017-01-06,Underworld: Blood Wars,Other,13688751,3070,30353973,3070,2.2174391951464383,Weaker
2016-12-28,20th Century Women,Other,111200,4,5664764,650,50.942122302158275,Stronger
2016-12-25,Hidden Figures,Fox,515499,25,169607287,3416,329.01574396846553,Stronger
2016-12-25,Live By Night,Warner Brothers,33336,4,10378555,2822,311.33174346052317,Stronger
2016-12-25,Toni Erdmann,Other,15972,3,1479387,112,92.62377911344853,Stronger
2016-12-23,A Monster Calls,Other,30909,4,3740823,1523,121.02698243230127,Stronger
2016-12-23,Silence (2016),Paramount,130880,4,7100177,1580,54.249518643031784,Stronger
2016-12-23,Why Him?,Fox,11002986,2917,60323786,3008,5.482492297999834,Strong
2016-12-21,Assassin's Creed,Fox,10278225,2970,54647948,2996,5.316866287710184,Strong
2016-12-21,Dangal,Other,3248481,331,12391761,338,3.8146324389768633,Strong
2016-12-21,Passengers (2016),Sony,14869736,3478,100014699,3478,6.7260574767433665,Stronger
2016-12-21,Patriots Day,Other,161306,7,31886361,3120,197.6762240710203,Stronger
2016-12-21,Sing,Universal,35258145,4022,270395425,4029,7.669020165411425,Stronger
2016-12-16,Collateral Beauty,Other,7102085,3028,31016021,3028,4.36717118986889,Strong
2016-12-16,Fences,Paramount,129462,4,57682904,2368,445.5585731720505,Stronger
2016-12-16,Rogue One: A Star Wars Story,Buena Vista,155081681,4157,532177324,4157,3.431593728984663,Strong
2016-12-09,Befikre,Other,498000,284,498000,284,1,Weaker
2016-12-09,La La Land,Other,881104,5,151101803,3236,171.49145049846555,Stronger
2016-12-09,Office Christmas Party,Paramount,16890204,3210,54767494,3210,3.242559651736592,Weak
2016-12-09,The Bounce Back,Other,227354,615,321910,615,1.4158976749914232,Weaker
2016-12-09,The Comedian,Other,10723,2,1659002,848,154.71435232677422,Stronger
2016-12-02,Believe (2016),Other,477387,638,890303,638,1.8649502395331252,Weaker
2016-12-02,Incarnate,Other,2534884,1737,4799774,1737,1.893488617230611,Weaker
2016-12-02,Jackie,Other,278715,5,13960394,508,50.08842007068152,Stronger
2016-11-25,Lion,Other,123360,4,51738905,1802,419.4139510376135,Stronger
2016-11-25,Miss Sloane,Other,59797,3,3500605,1648,58.54148201414787,Stronger
2016-11-23,Allied,Paramount,12701743,3160,40098064,3160,3.1568946088737584,Weak
2016-11-23,Bad Santa 2,Other,6176680,2920,17782178,2945,2.8789216860837863,Weak
2016-11-23,Dear Zindagi,Other,977862,153,2376479,156,2.4302805508343712,Weaker
2016-11-23,Moana,Buena Vista,56631401,3875,248757044,3875,4.392563835741941,Strong
2016-11-23,Rules Don't Apply,Fox,1589625,2382,3652206,2386,2.2975267751828263,Weaker
2016-11-18,Bleed for This,Other,2366810,1549,5083906,1549,2.1479992056819093,Weaker
2016-11-18,Fantastic Beasts and Where To Find Them,Warner Brothers,74403387,4144,234037575,4144,3.1455231332412326,Weak
2016-11-18,Manchester by the Sea,Other,256498,4,47695371,1213,185.94831538647475,Stronger
2016-11-18,Nocturnal Animals,Other,492648,37,10663357,1262,21.64498181257206,Stronger
2016-11-18,The Edge of Seventeen,Other,4754215,1945,14431633,1945,3.035544879648901,Weak
2016-11-18,The Take (2016),Other,41546,100,50269,100,1.2099600442882588,Weaker
2016-11-11,Almost Christmas,Universal,15134235,2376,42158780,2379,2.785656493374128,Weak
2016-11-11,Arrival,Paramount,24074047,2317,100546139,3115,4.17653662468965,Strong
2016-11-11,Billy Lynn's Long Halftime Walk,Other,114129,2,1738477,1176,15.232561399819502,Stronger
2016-11-11,Chaar Sahibzaade: Rise of Band Singh Bahadur,Other,303863,103,700723,103,2.3060491076570693,Weaker
2016-11-11,Elle,Other,50934,2,2341534,209,45.971924451250636,Stronger
2016-11-11,Shut In,Other,3613567,2058,6900335,2058,1.909563320674558,Weaker
2016-11-04,Doctor Strange,Buena Vista,85058311,3882,232641920,3882,2.735087462529088,Weak
2016-11-04,Hacksaw Ridge,Other,15190758,2886,67209615,2971,4.424375334002424,Strong
2016-11-04,Loving,Other,159615,4,7751969,572,48.566669799204334,Stronger
2016-11-04,Trolls,Fox,46581142,4060,153707064,4066,3.299770194556415,Weak
2016-11-02,The Eagle Huntress,Other,52574,4,3169351,122,60.28361927949177,Stronger
2016-10-28,Ae Dil Hai Mushkil,Other,2190042,302,4264983,302,1.947443473686806,Weaker
2016-10-28,Inferno,Sony,14860425,3576,34343574,3576,2.311076163703259,Weaker
2016-10-26,Oasis: Supersonic,Other,16880,14,242867,106,14.387855450236966,Stronger
2016-10-21,Boo! A Madea Halloween,Other,28501448,2260,73206343,2299,2.5685131155441647,Weak
2016-10-21,El Jeremias,Sony,314109,192,650465,192,2.0708257324686654,Weaker
2016-10-21,I'm Not Ashamed,Other,927161,505,2082980,516,2.246621676278446,Weaker
2016-10-21,Jack Reacher: Never Go Back,Paramount,22872490,3780,58697076,3780,2.5662739824129335,Weak
2016-10-21,Keeping Up with the Joneses,Fox,5461475,3022,14904426,3022,2.729011118791169,Weak
2016-10-21,Moonlight (2016),Other,402075,4,27854932,1564,69.27795063110116,Stronger
2016-10-21,Ouija: Origin of Evil,Universal,14065500,3167,35144505,3168,2.498631758558174,Weak
2016-10-21,The Handmaiden,Other,92129,5,2006788,125,21.78237037197842,Stronger
2016-10-14,Certain Women,Other,60898,5,1087585,138,17.85912509442018,Stronger
2016-10-14,Desierto,Other,514282,73,2002036,168,3.8928758929925604,Strong
2016-10-14,Kevin Hart: What Now?,Universal,11767210,2567,23591043,2567,2.004811930780533,Weaker
2016-10-14,Max Steel,Other,2182216,2034,3818664,2034,1.7499019345472675,Weaker
2016-10-14,Priceless (2016),Other,707021,303,1499605,303,2.121019036209674,Weaker
2016-10-14,The Accountant,Warner Brothers,24710273,3332,86260045,3402,3.490857628323248,Strong
2016-10-11,Shin Godzilla,Other,458342,34,1918403,490,4.185527400936419,Strong
2016-10-07,Middle School: The Worst Years of My Life,Other,6878437,2822,20007149,2822,2.9086766368580537,Weak
2016-10-07,The Birth of a Nation,Other,7004254,2105,15861566,2105,2.2645617934472395,Weaker
2016-10-07,The Girl on the Train (2016),Universal,24536265,3144,75395035,3241,3.072799996250448,Weak
2016-10-07,Voiceless,Other,292438,100,419952,100,1.4360377242355644,Weaker
2016-10-06,Premam,Other,448129,112,828278,112,1.8483026092933061,Weaker
